,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
869,4976,佳凌,"19,575,366","13,235","2,235,209,314",109.50,117.00,109.00,112.00,+,5.0,111.50,250,112.00,78,0.00
870,4977,眾達-KY,"772,141",644,"87,507,803",113.50,114.50,112.00,113.00,+,0.5,113.00,28,113.50,3,14.09
871,4989,榮科,"3,767,912","1,669","151,253,502",41.10,41.10,39.20,39.80,+,0.4,39.75,42,39.80,11,180.91
872,4994,傳奇,"515,554",452,"44,569,260",86.80,87.40,84.20,86.00,+,0.2,86.00,4,86.10,6,21.99
873,4999,鑫禾,"2,870,679","1,816","169,547,310",60.00,60.20,58.10,58.30,-,2.1,58.30,2,58.40,9,10.30
874,5007,三星,"177,048",111,"11,119,219",62.40,63.00,62.20,63.00, ,0.0,62.90,1,63.00,18,30.88
875,5203,訊連,"96,540",117,"9,889,755",103.00,103.00,102.00,102.00,-,0.5,102.00,7,102.50,15,43.59
876,5215,科嘉-KY,"1,543,377","1,262","224,510,834",148.00,149.00,143.00,145.50,-,2.0,145.50,31,146.00,27,11.53
877,5225,東科-KY,"243,050",165,"5,535,104",22.05,23.45,22.05,22.85,+,0.85,22.80,4,22.85,2,0.00
878,5234,達興材料,"125,861",107,"11,929,868",94.70,95.20,94.20,94.70, ,0.0,94.60,5,94.90,8,15.40
879,5243,乙盛-KY,"5,422,862","3,718","412,217,657",77.20,77.80,75.00,75.70,-,1.3,75.50,13,75.70,6,27.73
880,5258,虹堡,"345,208",197,"8,052,460",23.70,23.70,23.15,23.35,-,0.35,23.25,4,23.35,1,10.47
881,5269,祥碩,"765,787","2,229","1,031,551,310","1,345.00","1,370.00","1,345.00","1,345.00",-,145.0,--,0,"1,345.00",545,31.80
882,5283,禾聯碩,"136,472",184,"17,522,803",129.50,129.50,128.00,128.00,-,0.5,128.00,23,128.50,2,9.94
883,5284,jpp-KY,"17,240",19,"724,141",42.20,42.20,41.90,42.00,+,0.05,41.95,1,42.00,1,15.85
884,5285,界霖,"2,685,446","1,761","214,864,499",81.50,82.20,78.80,79.50,-,1.0,79.30,2,79.50,1,58.03
885,5288,豐祥-KY,"118,001",71,"16,145,136",138.00,138.00,136.00,136.50,-,0.5,136.50,17,137.00,1,16.25
886,5388,中磊,"3,037,396","1,865","233,301,765",77.10,77.30,76.10,76.70,+,0.2,76.70,28,76.80,13,21.13
887,5434,崇越,"1,482,064",953,"206,830,403",141.50,141.50,138.50,139.50,-,2.0,139.00,43,139.50,3,12.26
888,5469,瀚宇博,"17,372,457","8,450","923,565,755",53.60,54.00,52.30,53.10,+,1.2,53.00,135,53.10,168,8.86
